,user
5591,4756343
4955,4885399
10338,5225368
1151,5438866
9319,5556476
5690,5844335
2741,5868431
1606,5979588
10726,5986663
363,6052872
6108,6179951
10594,6272273
3582,6334416
8770,6485625
670,6581704
8840,6962955
5820,7041863
5448,7121855
10131,7158248
225,7294238
4007,7343499
975,7360279
3982,7485024
58,7660251
1597,7736885
375,7822882
180,8433670
4019,9104280
8891,9130251
9461,9429534
6390,9545489
10812,9628098
8609,9808771
4864,10093420
372,10478495
6281,11935814
7591,12493585
7205,12537747
1091,13202494
6002,13371463
7749,15324569
5907,15726346
7807,15807789
1297,15935689
1704,16127137
5045,16405046
3337,16594886
8194,16860949
78,16873711
4208,17098350
7617,17317183
3216,18091392
7560,18536915
799,18893059
7710,19103919
4426,19984556
8,21208940
6872,21767586
2585,21850982
3850,22079431
7925,22258774
1958,22778743
44,22784556
11690,22951684
3295,23127993
9547,23502356
11583,23509434
9545,23625117
5696,23897509
9808,23958985
650,24052913
10765,24089702
6180,24230420
6151,24425788
3637,24481800
5348,25090207
10565,25186702
6740,25203827
3735,25371218
2736,25606288
10252,25612274
4901,25676782
2985,25725314
7811,25980975
6273,26096637
1239,26457348
8184,26510072
348,26530591
5079,26759512
10452,27063575
2624,27092894
11204,27245081
1508,27368408
4491,27390261
4003,28006241
11113,28136377
5043,28319474
10069,28608182
755,28778052
1236,29135202
2164,29454961
7434,29633159
6498,29692421
1526,30260375
3448,31281849
10734,31445050
7036,31564260
8062,31995440
7171,32057600
8700,32155777
8940,32179874
2822,32458157
11148,32463744
5032,32512143
9062,32522870
36,32530886
6998,32707808
8319,32796101
6166,32949118
4772,32999486
4305,33069588
5290,33149109
6536,33239286
10692,33584447
6425,33624752
7841,33853782
7642,33854740
11128,33864462
8513,34004712
2347,34200724
7613,34302905
4398,34324144
4231,34427817
4184,34492765
3918,34556598
4164,34563498
2323,34588210
8402,34600304
9271,34600522
2438,34602240
2794,34712432
1235,34761432
475,34784603
5830,34808996
1554,35006849
11363,35007475
6049,35131138
11191,35154011
5741,35575492
256,35587069
9418,35590254
7570,35643389
1873,36058859
8977,36243441
11683,36498073
2711,36995430
1586,37009673
4699,37010298
499,37012208
1649,37284899
6741,37486511
4704,37521589
4168,37740258
411,37878791
6792,38016217
967,38101116
2703,38188695
3648,38399617
608,38425045
3408,38447920
7625,38508643
8002,38510724
7267,38625843
1172,38640557
2135,38711488
10282,38845557
4923,39169965
1941,39211842
6274,39472531
6851,39481193
7323,39531945
3828,39581133
8353,39668525
6089,39695242
9837,39723452
10328,39759851
7931,39920921
3933,40030731
9811,40046588
899,40348910
8918,40466342
5926,40675382
2297,40701078
6697,40810031
5053,40856631
6382,40919374
6177,40944883
8232,40947014
9459,40985851
2605,41441602
4462,41494219
358,41538853
2364,41634088
5432,41662842
3411,41722536
5007,42034412
8677,42262270
4555,42323527
8161,42333372
5671,42369458
2587,42400994
1014,42480713
2704,42524530
8726,42632122
1230,42635811
3041,42676890
3888,42727900
5764,42951697
8234,42955707
1082,43017488
9818,43022119
3257,43054176
5935,43059320
4544,43350392
10913,43457173
3135,43575381
10592,43599331
8913,43632161
3476,43821139
4525,43887250
2291,43903450
526,44062871
2635,44110596
7877,44240994
1488,44296578
6897,44347628
7089,44658441
3255,44756653
5699,44757069
9047,44865868
9592,44890279
8046,44915076
7529,45135646
4283,45247766
546,45291974
1671,45410220
3566,45545590
8471,45853105
10711,45919956
5057,46068380
10897,46284539
2676,46427726
3489,46643007
9795,46866565
11706,47101214
6203,47299180
586,47303188
11047,47312686
6838,47325838
4558,47367388
5148,47452364
2653,47490292
1552,47543915
4059,47571378
962,47886667
4372,47911830
5819,47975734
331,48004906
9939,48098898
4154,48107711
7552,48195752
5908,48355225
7123,48399974
3895,48547560
2752,48756093
11686,48902131
1812,48995731
9973,49014206
5309,49060373
3941,49398224
707,49536752
8480,49590540
6572,49808804
145,49846066
2102,49849929
3044,49853551
10379,50007584
9359,50156415
866,50247147
3968,50318344
7164,50323043
4512,50348963
2351,50367478
8522,50413334
9371,50438813
7187,50503495
4277,50563032
6511,50694238
10028,50717861
4827,50772230
337,50789267
9735,50803494
11002,50850773
5303,50887306
302,50969145
9086,51047105
11389,51305463
7531,51872125
11456,51879840
8422,51927705
1344,51999334
8533,52008037
2263,52085336
11559,52107143
10430,52124978
8190,52178124
592,52218123
7367,52346052
520,52392630
10492,52461578
7006,52547536
3999,52652708
4514,52698481
697,52801975
1980,52886327
9749,53041008
8696,53043564
8427,53465397
7294,53562154
9949,53581534
2389,53652201
9424,53727827
4862,53791985
7576,53810775
10257,53810814
9669,53879940
10880,53964533
7103,54026368
5016,54133489
6029,54256697
1866,54258421
1768,54271465
7019,54312582
4074,54329385
3023,54466491
10794,54802903
10788,54834011
9726,54895301
11602,54951503
9584,55144542
8339,55215645
5899,55309171
2147,55346433
5485,55433881
4988,55444264
11199,55588646
6620,55590890
1786,55705052
10696,55745911
973,55764470
10508,55888804
3714,55910350
5774,55938138
6304,55979481
10332,55986973
3823,56077720
2874,56096617
6682,56181931
11599,56235436
5612,56289125
817,56317274
5058,56413093
2259,56533588
6204,56572324
7327,56616011
4371,56631662
401,56653908
7578,56666863
1923,56666967
3609,56673728
10497,56681133
11229,56697645
772,56821401
2958,56869846
11689,56997303
1843,57046659
3370,57071745
2175,57117142
7276,57152196
6895,57296486
714,57379280
9564,57408755
9763,57418669
9622,57439615
5982,57524500
1626,57592535
10550,57600727
1056,57617791
4637,57625110
10265,57719597
5217,57737851
10627,57792250
4377,57813058
5459,58215880
4674,58337235
4832,58360055
9893,58463661
4736,58570981
7526,58623777
9899,58645632
9730,58654672
7780,58731109
4125,58789103
3638,58794431
3468,58812994
10530,58825134
343,58873012
2625,59080024
2511,59167241
1769,59203837
10293,59212517
8436,59239906
6920,59417279
964,59470096
747,59472589
5317,59609695
1292,59664280
1188,59666910
7659,59690843
3988,59701326
2875,59772315
7847,59777891
11172,59869231
3804,59974621
5725,60000995
8528,60081858
2032,60097622
6522,60122561
11294,60232703
8898,60351780
4939,60358090
5893,60406257
4657,60433198
3679,60738297
11717,60826106
10982,61025588
2975,61043901
1415,61067250
10641,61140744
9332,61190562
8310,61256277
6983,61280592
10266,61361421
8271,61391706
10158,61401061
6541,61416234
6139,61438382
6940,61657979
3608,61661006
5338,61759754
8013,61824428
8517,61872048
3191,61874711
3496,61989029
8214,62044469
8574,62076869
2430,62084461
6573,62174238
10174,62253745
10488,62325177
11622,62376023
3014,62376700
8088,62520772
4403,62526134
8643,62621854
4196,62696260
7651,62970543
8628,63099786
9275,63176888
4405,63182434
5860,63204513
10590,63410639
9112,63551689
4984,63637623
2685,63753908
1038,63784720
4215,63876977
8758,63958239
9651,64035010
3120,64181113
8343,64190304
10016,64193009
9522,64283996
8288,64577628
1471,64597671
7418,64670137
8325,64698682
659,64744579
11031,64806849
627,64856280
10105,65353297
5694,65499029
9742,65804723
4365,65963379
5269,66154543
5768,66288690
6494,66294146
10018,66303244
1223,66313453
9681,66366854
9261,66422656
5619,66478514
6080,66554944
1880,66564435
1224,66566707
10393,66612717
11066,66619978
6708,66718328
8373,66797039
4609,66812456
7058,66856070
1761,66902596
7231,67056957
5712,67164223
7349,67269744
10049,67543597
6488,67596473
6379,67605339
365,67820254
7718,67860047
460,68070680
7887,68107882
2932,68202998
10644,68255908
5891,68280998
3536,68363220
436,68444411
10828,68651304
11007,68699285
4960,68736037
3656,68928436
3894,69062067
8008,69134282
729,69198781
240,69202877
2923,69248690
6519,69291786
4235,69292016
3752,69323246
9606,69423153
7747,69467466
5088,69467946
2824,69552907
9996,69897449
3163,70033619
3432,70062644
3358,70089932
11348,70782659
1921,70953622
1027,71034798
1105,71135257
3633,71322800
6285,71336709
4085,71381220
4444,71398202
574,71624766
3978,71715273
3578,71815175
3453,71997429
10800,72003695
434,72004042
7241,72009721
5383,72094157
6224,72115422
4742,72277996
8348,72397789
1193,72539448
9099,72727462
7201,72752171
9910,72767720
7499,72788480
7018,72953857
3182,72998368
6349,73033128
9077,73047517
71,73060632
4126,73420519
2502,73421578
2390,73429031
11119,73575221
10391,73620333
5229,73703138
9244,73851638
8066,73939078
10209,74194657
10087,74270623
1034,74475074
1231,74561241
6245,74792092
9867,74876741
9751,74879485
5526,75004820
7969,75093484
6542,75113933
2460,75133672
2589,75176816
7586,75222941
3318,75259007
4088,75307106
6561,75442948
7620,75455993
7312,75513825
5155,75532053
11533,75580745
3771,75675943
9655,75775519
5067,75795937
8510,75920867
9343,76104711
3555,76114490
5998,76139786
9732,76174521
993,76562163
552,76609054
11008,76624252
462,76662447
1664,76679504
6736,76950584
3642,77141122
8076,77176012
9645,77236237
1423,77251195
5742,77321999
9660,77341347
4332,77369949
6554,77381604
3766,77547064
7674,77590905
4317,77936047
762,78017359
9225,78542303
179,78575637
3708,78711406
3213,78882798
10803,78998627
8083,79225668
10871,79311946
5077,79708756
7307,79711030
5736,79719367
8265,79747930
11606,79791194
2318,80018388
6423,80418539
6907,80761175
8318,80929952
8500,81038311
4166,81156414
8202,81362386
1299,81512615
5621,81546362
6072,81607488
458,81624411
1159,81710580
6825,81754341
11362,81827990
5838,81931997
3238,82071256
3436,82087835
3096,82177479
6674,82217439
6207,82260472
11046,82439953
11212,82557760
1245,82593790
2220,82699390
2817,82822380
8160,82861442
4507,82967807
6202,83176697
8588,83243485
6086,83412664
2768,83509069
5362,83560429
10586,83586528
6135,83615176
8802,83637150
1033,83668306
9712,83727179
10875,83966313
532,84001357
8920,84152223
10333,84203003
279,84265178
1581,84289653
626,85340375
4938,85413039
1530,85609061
7819,85635113
6720,85792541
4678,85882326
11582,86036848
630,86068319
1967,86161757
2010,86263838
6540,86328793
215,86423731
2714,86553755
4122,86637358
8923,87150088
3803,87155515
5550,87169367
10059,87222256
11317,87317214
979,87401882
6497,87432776
97,87435164
10972,87445960
5342,87523084
6982,87677941
9072,87724175
10909,88003410
2432,88110433
1739,88111010
4545,88149213
2304,88233980
2241,88265192
10043,88291948
8795,88505037
3568,88593054
8398,88630150
5278,88636100
5735,88647413
10424,88648636
3101,88721649
1976,88793676
2201,88892257
1571,88918682
10805,88995061
7837,89005124
4998,89037046
8740,89110130
10870,89292642
9955,89307233
10288,89373506
6673,89569967
5009,89693026
1855,89822515
439,89831785
2117,89996062
5564,89998924
4353,90083656
6406,90099799
2552,90100595
7658,90324972
3695,90633222
9288,90649015
3788,90650951
10327,90674843
5659,91058847
560,91235319
1319,91284888
7381,91418869
1350,91527634
8438,91531717
3052,92116599
1572,92186897
10568,92208300
521,92259063
8697,92494476
2207,92559785
5030,92613407
8127,92628406
4453,92676649
3899,92761605
287,92797362
9897,92819884
3538,92840492
7472,92911545
3797,93056197
7331,93212972
4948,93407355
5789,93479766
4020,93596893
8826,93827369
9930,93829140
666,93904283
10458,93916379
3977,93922159
6296,93924025
2078,93971109
9783,94011141
6250,94026383
3084,94120622
1130,94312417
2663,94409223
10790,94515217
603,94523403
10819,94556687
4825,94630075
7895,94642696
9360,94665561
11006,94717814
6454,94805035
8392,94962112
11580,95072062
4616,95200545
7926,95292672
7964,95311250
7090,95314709
2273,95661606
1679,95684161
9605,95726955
10031,95796809
7377,95854322
7233,95900576
4489,95989634
8149,96091840
5295,96357061
620,96436345
7032,96543754
9729,96576769
5931,96662810
10628,96785877
8393,96826191
15,96976269
8362,97113746
4373,97154162
4924,97189569
8070,97251696
906,97273730
1782,97407819
2560,97832753
5377,97894123
6088,97938082
8312,97975858
10256,97981439
7590,98051561
8598,98121474
6092,98193063
7553,98245540
4099,98457352
4287,98535899
500,98553601
5939,98580239
3737,98678281
11010,98707365
1456,98773606
4792,98934915
10478,99380542
6565,99458568
7821,99556339
4572,99587408
4794,99588473
8862,99616523
6934,99653669
11004,99777490
10403,99988303
9873,100028942
5245,100030546
5250,100041180
4457,100088173
651,100310279
1218,100434759
1228,100436020
6214,100759806
5900,100833480
10649,100891493
298,100897147
1270,100946239
5552,101025818
7238,101080370
5782,101088393
8531,101139951
11131,101292331
6001,101398527
11538,101606096
4715,101697672
9151,101789330
4936,101838149
2523,101966693
6457,101999451
5841,102098290
9574,102215848
1173,102258935
717,102339977
2161,102394371
9862,102426089
9648,102537660
7400,102609595
10161,102877129
767,103037323
960,103077015
5684,103345083
2780,103465470
10625,103522635
8457,103620311
943,103816693
5039,103965620
7355,103978146
5911,103980787
2150,104144735
10103,104171238
8859,104190037
2888,104234402
1731,104396419
7263,104418669
941,104442434
8828,104488274
9830,104570197
5178,104673080
6410,105027386
6956,105031855
6887,105052241
2168,105140456
1737,105240665
2224,105242757
10499,105293703
4788,105390624
9902,105393634
2597,105478530
4600,105510253
4356,105577451
3491,105929479
7067,105996029
10048,106422744
6299,106441967
10950,106453503
3068,106570039
11365,106596774
9590,106691670
5813,106734273
5065,106763309
8118,106779032
3111,106829419
3273,106829645
2718,106866514
3110,106989752
469,107232425
10277,107254408
9544,107510734
6862,107565391
6771,107587044
7884,107704592
5851,107705980
3487,107779415
2537,107806083
9453,107843803
5368,107984201
5151,108051811
3190,108160315
11053,108265287
7454,108458898
3639,108501947
4808,108571755
702,108757567
5472,108789082
8390,108828989
8095,108833486
5435,108879788
9160,108891375
2891,108938387
693,108972595
11647,109013561
2513,109077727
696,109099327
1416,109164484
2174,109239379
7163,109528891
8893,109956447
2518,109964287
6753,109979918
4443,110002461
3442,110204151
2592,110294846
3427,110328380
4077,110375604
9103,110437645
6392,110479689
3019,110609988
5601,110647139
11746,110663078
9178,110702425
3384,110726550
2516,110797920
2076,110821612
2858,111001616
4276,111106900
10716,111113129
11527,111195468
11215,111229630
9916,111230796
11575,111489667
7701,111567844
9642,111579711
2854,111782725
6647,111819023
6329,112052450
2466,112259647
2376,112265032
2338,112281813
3222,112385700
5286,112420847
5788,112456453
2919,112738403
1820,112744404
1045,112824624
171,113147310
2026,113182219
1956,113221313
9685,113455024
4303,113556439
5223,113558617
6074,113735087
971,113912554
1954,114097081
9036,114189206
430,114232449
8626,114302995
5174,114306618
5415,114328603
10414,114423263
10485,114634838
9517,114695850
5364,114757010
4935,114764886
8135,114770706
815,114941324
669,114944253
7485,115047749
7072,115064334
6020,115178271
8116,115261107
7873,115367569
9928,115436303
6705,115498840
10159,115530526
6906,115533432
9967,115585028
9052,115593142
5906,115633180
7630,115691687
11143,115762755
9170,115825833
93,115839374
3184,115879171
452,115948583
10418,116020748
9968,116026845
3477,116146080
7476,116195646
9057,116233702
9601,116472118
7666,116686427
14,116693874
2748,116705291
10589,116718219
3277,116723416
3585,116901819
3579,117058920
6199,117083630
758,117101577
11104,117218699
4037,117305719
9146,117316782
1098,117384617
7839,117449759
1370,117553446
9324,117605292
5988,117614018
6164,117742708
6715,117776241
5770,117791790
9694,117826491
5262,117901648
5326,117932636
11735,117957997
11153,117977860
7537,118001938
7946,118100021
2016,118212719
5376,118278093
4261,118361949
10398,118458208
1868,118473391
9803,118813509
7105,118998748
2221,119117977
6191,119201984
5882,119229974
1357,119235180
4996,119284223
4051,119416836
204,119457625
7175,119479040
8803,119484535
2325,119651059
9812,119702721
9988,119910176
399,119931864
11024,119945359
736,119975801
6810,120050682
11625,120097719
7882,120110887
11361,120210479
11707,120256849
1366,120407271
4187,120418704
262,120430541
10303,120485836
9093,120691109
2326,120693037
3376,120782342
10347,120881704
6559,120988325
3327,121015558
3626,121020442
10127,121054152
3113,121084068
684,121091240
11743,121333411
8593,121637541
5056,121655335
10581,121701553
2803,121717170
5130,121757508
9487,121757789
466,121762741
6731,121805238
7167,121839330
7223,121903757
6549,122004872
3643,122033449
4676,122141943
9205,122160825
2058,122172610
523,122228412
6993,122244412
8472,122279618
1587,122399353
2604,122553420
9190,122575633
6162,122674031
4167,122705456
8380,122778406
5033,122779435
111,122871718
10527,122876507
10495,122973809
5430,123126248
6828,123213846
7767,123266998
3540,123350767
10689,123364801
9127,123382542
3508,123446626
441,123466028
559,123522994
7190,123625099
3000,123761909
4382,123861060
2561,123933435
11544,124074982
10140,124103584
5639,124191486
5411,124272891
9481,124340438
1503,124343817
10118,124348683
4567,124391712
1441,124422452
2893,124450879
6827,124648996
2095,124711846
8924,124791374
9032,124816628
2775,124821971
4846,124875520
7118,125023193
11407,125054975
8906,125058161
8139,125095865
2779,125166864
338,125422028
6238,125498185
53,125543054
1516,125647874
2234,125651325
7165,125720122
10122,125801235
6538,125826106
5751,125836701
10228,125881721
7563,125890072
11666,125916258
612,125949405
7255,125955389
11235,126002144
2972,126291282
4282,126321574
4316,126374881
2950,126386976
4432,126423831
990,126476152
1137,126491903
1511,126516448
2199,126553126
1194,126586824
9624,126627991
7753,126680651
6032,126744442
11184,126751055
6951,126846195
10168,126912427
6443,126950916
5573,127074732
9583,127204872
4389,127258231
7987,127302411
4727,127471335
8243,127487709
11101,127596793
2608,127601779
6103,127620401
8251,127731889
3688,127737738
1133,127769387
7348,127790386
9790,127891915
7354,128008543
4869,128096325
2953,128186168
1325,128211100
2832,128219626
4815,128255068
11636,128273305
2595,128312542
11351,128435691
9670,128578232
2335,128797223
3280,128834992
11546,128858219
1784,128883002
1118,128885673
8691,129056386
8756,129070250
3767,129133095
8778,129187643
11201,129189632
4381,129207598
4648,129357478
8764,129372717
7769,129396026
4934,129509324
10314,129674116
10113,129722162
6641,129984468
6722,129999262
8196,130015215
9328,130117932
1744,130235791
706,130354148
2563,130529046
986,130679019
858,130798607
4877,130842798
4082,130955703
4225,131152024
2171,131152365
9580,131232208
7340,131250382
1678,131261728
6843,131261968
5732,131325534
11330,131349758
8180,131391496
10392,131533616
734,131550213
4643,131626905
96,131711493
7779,131719022
8315,131898478
8602,131949789
10732,131960628
2812,132077473
2719,132081081
5249,132347820
10297,132683035
7936,132713069
4397,132804434
8439,132824554
3090,132910375
10123,132929629
10718,132994710
4129,133002375
4991,133372246
5865,133384421
3861,133391056
3197,133497849
4406,133590847
3040,133599296
9024,133649772
6073,133814935
7082,133875204
6664,133989672
6495,134193400
10881,134231249
4071,134261293
8749,134324928
3556,134362614
9278,134393529
9458,134476858
5833,134485170
8934,134531325
3017,134634727
155,134745933
11620,134766938
11108,134790138
10441,134796512
10251,134819137
7249,134830036
6455,135006923
6044,135105201
5031,135414218
7922,135436103
10138,135439224
16,135462866
1765,135480633
1335,135514928
5270,135623176
3250,135682498
6754,135754312
10978,135758547
2331,135828764
1001,135873954
347,135891275
3813,135899793
3425,136019700
8613,136198500
9405,136290567
9915,136350998
3279,136491306
10239,136544667
10953,136560583
7864,136684897
7872,136710025
7417,136794303
10939,136909418
8400,136932560
11279,136966350
4477,137031134
8171,137033731
6535,137075690
9714,137154055
1639,137278449
6913,137341193
10885,137341653
10445,137365320
9402,137374398
1072,137521388
753,137521862
2805,137838612
918,137947363
977,138028122
10093,138081882
8490,138157865
10337,138283935
35,138400434
4888,138612574
1574,138802589
1385,138911498
11339,138934592
1760,139003588
1577,139068333
11601,139080124
3095,139108010
4452,139114442
2626,139140846
1682,139157176
4554,139244658
3467,139369882
644,139465754
10784,139514895
7158,139588066
1706,139653633
741,139681417
5248,139802264
7216,139831013
1986,139890220
5608,140027029
11640,140050656
1009,140144542
4424,140215692
2503,140222843
5169,140251699
773,140269047
5681,140410107
4993,140469657
3833,140513872
1994,140562430
9565,140657674
2082,140963360
1290,140975097
9206,141346164
5307,141468346
5444,141518724
9523,141559595
9582,141573074
10772,141791074
1936,141806604
2049,141837794
9646,141839095
660,141984605
5843,142075740
7518,142202927
1041,142224618
5021,142231014
8504,142264976
9497,142286001
3598,142366080
3694,142613030
10917,142681917
9829,142718925
5325,142791336
5133,143000159
10336,143159169
5374,143280669
2222,143288499
2570,143364087
6305,143425552
10469,143485102
11214,143578099
2453,143670592
6837,143705047
185,143748244
6134,143777342
9462,143829452
40,143871296
1672,143987591
5554,144013294
7240,144057710
7237,144059519
10331,144308060
5913,144350309
1000,144423069
3466,144734851
5353,144888189
3965,144996180
6603,145018259
726,145073956
7574,145109083
1142,145418215
2906,145429948
6265,145437543
10108,145579633
7550,145608951
6639,145787161
10189,146023261
6518,146139819
7260,146161196
1386,146210258
10201,146358140
2075,146407272
9754,146409056
11736,146426297
1687,146467493
2843,146494977
3627,146499177
6926,146512807
795,146533093
2205,146553197
3664,146676273
8827,146701212
5118,146701728
4199,146731805
3885,147010815
9521,147141741
2558,147213107
3103,147615474
8378,147721521
853,148161847
4484,148215107
4342,148340232
11039,148426302
8274,148494500
2114,148580023
8688,148661802
11208,148938695
7114,149091550
9392,149264095
9014,149537709
6195,149621465
9731,149719457
8939,149765440
789,149919966
3795,150016441
10974,150101067
7226,150129300
4787,150142952
6017,150148086
10630,150152224
6694,150176019
8843,150459048
7507,150522636
3543,150609531
7149,150732629
296,150804080
4456,150897551
8611,151069565
3070,151122605
10698,151205975
8147,151249461
1686,151348424
1781,151438782
8247,151511262
5721,151618440
11306,151633489
9934,151865223
2006,152071291
2492,152288338
10520,152373489
8699,152445476
3863,152655722
7605,152699439
1026,152950074
7469,152961153
2850,152965972
665,152996270
1044,153137120
1472,153144733
6747,153236717
10546,153318627
11341,153435244
7764,153443679
1816,153451988
7192,153552723
9573,153620471
5171,153688048
5107,153692681
1347,153741203
6484,153838963
2651,153883718
5827,153929979
173,154021837
3388,154033750
11,154149297
7204,154294702
9315,154337181
4102,154341466
2166,154547417
11118,154558711
8853,154616634
1977,154875875
10289,154948383
9630,154986417
5436,155035264
7622,155054210
2922,155150949
5796,155187678
9425,155303237
1454,155536383
5594,155575526
3115,155636415
4202,155669450
4344,155669846
2660,155769700
3934,155807040
2292,155915770
8565,156302356
7341,156512090
5511,156529272
8935,156649256
8676,156742701
5691,156753370
11524,156862081
4767,157155190
10425,157245650
6904,157302061
11530,157326215
8261,157414627
8197,157498184
2896,157583393
11450,157767337
2281,157838557
9966,157885928
3051,157894547
7130,157909947
7761,158039186
10797,158047943
8846,158148241
3972,158192693
7376,158201200
4474,158295966
6770,158323201
6190,158360591
9220,158431822
265,158500310
10827,158545233
3378,158742022
2813,158886693
6201,158930721
346,159325984
7543,159433158
4229,159595061
1862,159608480
646,159760391
48,159778377
4026,159877827
7829,159923424
1624,160386422
745,160635911
6247,160637155
1263,160701752
2664,160713617
7113,160742463
4401,160900344
7368,161037224
8635,161084366
7510,161094275
7694,161111549
2452,161183427
4782,161222215
1106,161264411
531,161306274
7191,161519346
8233,161625881
10261,161643604
8806,161861113
108,161885970
9389,161891543
2930,161933860
2528,161996563
324,162207627
8620,162236709
877,162273986
7186,162296326
6227,162424472
11663,162604048
6768,162694129
3045,162733306
6071,162744295
2045,163083181
9243,163120234
7662,163126923
6373,163255172
7508,163301267
9144,163321255
8177,163457759
5589,163482293
7742,163842273
2379,164105279
2208,164153054
2041,164285094
5329,164292145
6358,164463398
4907,164564348
6625,164704762
5345,164898079
1869,164930191
1502,164951846
257,164992290
8093,165207622
5066,165298059
9401,165332278
8647,165484337
1810,165584881
11220,165586313
5964,165617172
2784,165647468
8968,165652330
6061,165670529
8464,165682730
4611,165745246
9739,165816309
8387,165949107
2671,166018591
6345,166094497
2192,166104467
11216,166193581
11429,166268452
198,166282741
2262,166369877
9409,166388769
9787,166444650
1117,166535347
8498,166602960
292,166609622
6672,166617338
5859,166708617
3745,166906355
9299,167284804
3658,167315364
8634,167316315
1550,167350071
7390,167435433
7638,167468275
8417,167668855
2955,167731277
3233,167758909
1800,167824186
4978,167905168
6158,168234425
5625,168530165
8529,168742001
9945,168769611
9017,168799630
10022,168929533
3747,168970997
3558,169014550
8590,169168801
760,169183492
8729,169435283
4044,169668693
1393,169707453
9532,169933808
4273,170020629
11318,170219337
2997,170274406
6312,170296575
8217,170314290
3362,170426731
3003,170456356
1747,170539179
7607,170608510
10572,170776209
9383,170877859
5111,170969078
10,171037658
6096,171092027
6809,171119241
4228,171237820
4211,171271164
7265,171312488
8262,171364236
9272,171628715
304,171651996
1582,171669024
10111,171787959
6656,172137029
813,172158581
5417,172258202
8973,172271989
6774,172370329
9042,172427814
3285,172522433
8412,172556307
1154,172838347
3027,172909741
10110,172958019
1753,173005041
1991,173043897
3775,173081551
9115,173161597
11715,173161817
6337,173256628
8201,173272633
9342,173397384
4413,173410130
9594,173474197
5287,173530042
8714,173542241
8241,173573674
9617,173603241
6264,173636812
8249,173754010
7280,173825076
414,173861313
6154,173937663
5534,173949513
6985,173972706
9175,173975899
9598,174120876
9881,174312999
1363,174323714
3947,174338581
6431,174366505
4387,174422400
674,174443871
9633,174504962
8305,174755704
7995,174781687
1870,174828208
7415,175044359
9507,175114442
5015,175327958
996,175357523
7436,175365704
8523,175516994
4421,175525526
11391,175640675
5615,175687320
8126,175866187
922,176088083
